code,name,gender,function,country_code,nationality_code,height,weight,disciplines,events,birth_date,birth_place,birth_country,residence_place,residence_country,nickname,hobbies,occupation,education,lang,coach,sporting_relatives
1894081,WOJTKOWIAK Adrian,Male,Athlete,POL,POL,0,0,['Fencing'],"[""Men's Foil Individual"", ""Men's Foil Team""]",9/6/98,RYDZYNA,Poland,POZNAN,Poland,,,Athlete,,Polish,,
1894095,WARHOLM Karsten,Male,Athlete,NOR,NOR,188,0,['Athletics'],"[""Men's 400m Hurdles""]",2/28/96,ULSTEINVIK,Norway,OSLO,Norway,,"Building Lego, spending time with family",Athlete,,"English, Norwegian",Personal: Leif Olav Alnes (NOR),
1894100,BERG Synnoeve,Female,Athlete,NOR,NOR,0,0,['Shooting'],"['10m Air Rifle Women', '10m Air Rifle Mixed Team']",6/19/07,LORENSKOG,Norway,KONGSVINGER,Norway,,"Knitting, cooking, baking",,,"English, German, Norwegian",National/Personal: Jenny Stene (NOR),"Father, Vebjoern Berg (shooting), finished fourth in the men's 50m rifle prone at the Beijing 2008 Olympic Games. Five-time world championship medallist (three silver, two bronze)"
1894103,ONDRA Adam,Male,Athlete,CZE,CZE,185,0,['Sport Climbing'],"[""Men's Boulder & Lead""]",2/5/93,BRNO,Czechia,BRNO,Czechia,Harry Potter,"Reading, cooking, cross-country skiing, snowboarding",Athlete,Graduated from the Faculty of Economics and Administration at Masaryk University (CZE),"Czech, English, Italian, Spanish",Personal: Patxi Usobiaga (ESP),
1894114,JURKIEWICZ Jan,Male,Athlete,POL,POL,0,0,['Fencing'],"[""Men's Foil Individual"", ""Men's Foil Team""]",10/5/00,TORUN,Poland,,United States,,,"Student, athlete","Studying for a Master's degree in Psychology at St. John's University (New York City, NY, USA). Graduated with a Bachelor's degree in 2023","English, Polish",Club: Yury Gelman (UKR),
1894146,ZAMOJSKI Przemyslaw,Male,Athlete,POL,POL,194,0,['3x3 Basketball'],['Men'],12/16/86,ELBLAG,Poland,,,"Zamoj, Przemek",,Athlete,"Attended Independence Community College (Independence, KS, USA) for one year","English, Polish",National: Piotr Renkiel (POL),
1894193,WALCZYK-KLIMASZYK Julia,Female,Athlete,POL,POL,0,0,['Fencing'],"[""Women's Foil Individual"", ""Women's Foil Team""]",10/28/97,,,,Poland,,"Watching TV series, spending time with family",Armed forces athlete,"Graduated in 2020 with a Bachelor's degree in Chemistry Materials, and in 2022 with a Master's degree in Chemical Analytics from Adam Mickiewicz University (Poznan, POL)","English, Polish",,"Husband, Jan Klimaszyk (windsurfing), represented Poland at the 2013 RS:X Class European Youth Championships in Brest, France"
1894194,LYCZBINSKA Hanna,Female,Athlete,POL,POL,0,0,['Fencing'],"[""Women's Foil Individual"", ""Women's Foil Team""]",4/20/90,TORUN,Poland,,Poland,,,Armed forces athlete,Graduated with a degree in Recreation Management and Tourism from Adam Mickiewicz University in Poznan (POL). She has also graduated with a degree in Finance and Accounting from Gdansk University of Physical Education and Sport (POL),Polish,,"Sister, Marta Lyczbinska (fencing), two-time junior world championships medallist (one gold, one bronze)"
1894196,JELINSKA Martyna,Female,Athlete,POL,POL,0,0,['Fencing'],"[""Women's Foil Individual"", ""Women's Foil Team""]",5/5/92,TORUN,Poland,,Poland,,,Armed forces athlete,"Graduated with a degree in Recreation Management and Tourism from School of Banking (Torun, POL)","English, Polish",,
1894213,KNAPIK-MIAZGA Renata,Female,Athlete,POL,POL,0,0,['Fencing'],"[""Women's Épée Individual"", ""Women's Épée Team""]",7/15/88,TARNOW,Poland,,,,"Relaxing at home, watching films, visiting friends","Athlete, coach",Graduated with a degree in Mechanical Engineering from Krakow University of Technology (POL),"English, Polish",National: Bartlomiej Jezyk (POL).<br>Club: Radoslaw Zawrotniak (POL),
